date,year_x,month_x,year_y,month_y,visitor_arrivals,hotel_occupancy,google_trends
2023-03-01,2023,3,2023,3,2454093.0,84.0,31
2023-04-01,2023,4,2023,4,2892256.0,86.0,29
2023-05-01,2023,5,2023,5,2828384.0,82.0,28
2023-06-01,2023,6,2023,6,2748488.0,82.0,27
2023-07-01,2023,7,2023,7,3588530.0,87.0,28
2023-08-01,2023,8,2023,8,4077746.0,87.0,26
2023-09-01,2023,9,2023,9,2771826.0,78.0,31
2023-10-01,2023,10,2023,10,3458778.0,83.0,29
2023-11-01,2023,11,2023,11,3288915.0,87.0,30
2023-12-01,2023,12,2023,12,3929986.0,87.0,30
2024-01-01,2024,1,2024,1,3825617.0,85.0,32
2024-02-01,2024,2,2024,2,4001190.0,86.0,31
2024-03-01,2024,3,2024,3,3401991.0,84.0,32
2024-04-01,2024,4,2024,4,3391381.0,84.0,31
2024-05-01,2024,5,2024,5,3398458.0,78.0,30
2024-06-01,2024,6,2024,6,3132598.0,81.0,30
2024-07-01,2024,7,2024,7,3921630.0,86.0,32
2024-08-01,2024,8,2024,8,4453877.0,90.0,33
2024-09-01,2024,9,2024,9,3062003.0,81.0,32
2024-10-01,2024,10,2024,10,4090054.0,87.0,32
2024-11-01,2024,11,2024,11,3568437.0,91.0,35
2024-12-01,2024,12,2024,12,4255551.0,90.0,34
